CCAA;SEXO;EDAD;P4_1;P4_2;P4_3;P4_4;P4_5;P4_6;P4_7;P4_8;P5;P17E;P17F;ECIVIL;P19;P20;P21;P22;P22A;SIMPATIA;ESCIDEOL;RECUVOTOG;CERCANIA;ESCUELA;NIVELESTENTREV;RELIGION;PRACTICARELIG6;SITLAB;RELALAB;CNO11;INGRESHOG;CLASESOCIAL;SINCERIDAD
1;1;57;5;4;2;2;4;4;2;2;2;1;1;1;0;1;1;1;0;0;2;1;901;3;6;4;0;1;1;1;2;3;1
1;2;79;3;8;3;2;8;8;5;8;2;2;4;5;0;1;2;1;0;0;9;2;2;3;4;1;5;2;0;0;8;2;1
11;2;57;4;5;5;1;1;1;4;4;2;0;0;5;2;1;2;2;2;0;5;2;2;3;4;2;2;4;0;0;6;12;2
12;2;51;4;5;5;5;5;4;1;4;2;1;2;1;0;1;2;1;0;0;1;21;21;3;13;6;0;1;1;2;3;5;2
7;2;65;5;4;5;5;2;2;5;2;2;0;0;4;5;1;2;2;5;9997;99;0;9997;3;14;2;4;2;0;0;4;4;2
12;2;64;1;4;1;1;2;5;4;1;1;1;1;1;0;1;2;1;0;0;5;2;2;3;6;2;4;4;0;0;6;12;1
13;1;40;2;2;2;4;4;4;4;2;1;1;1;1;0;1;1;1;0;0;6;2;2;3;9;2;3;1;1;3;2;3;1
8;1;53;5;1;1;4;5;5;5;1;1;0;0;2;5;1;1;2;5;9997;5;8996;9997;3;14;1;6;1;1;2;5;3;2
8;2;44;4;2;2;4;4;4;5;2;2;1;2;1;0;1;2;1;0;1;3;1;1;3;9;6;0;1;1;3;2;3;2
15;2;58;1;1;1;2;1;5;5;2;2;1;1;1;0;1;2;1;0;9997;1;0;9997;3;4;2;1;1;1;5;4;5;2
7;2;48;1;8;2;2;1;8;8;5;1;1;1;1;0;97;2;1;0;9998;10;0;9998;3;2;1;5;1;1;5;5;12;1
12;2;35;4;4;4;1;4;4;2;1;2;0;0;2;1;3;2;9;1;9999;2;9999;9999;3;11;6;0;4;0;0;2;3;2
1;2;43;2;4;2;2;4;4;4;2;2;1;1;1;0;1;2;1;0;0;5;2;3;3;9;2;3;7;0;0;4;3;1
10;1;48;4;1;4;1;4;2;1;1;1;1;2;1;0;1;1;1;0;0;3;21;1;3;11;4;0;1;1;3;2;3;2
10;2;63;4;4;4;4;2;4;4;1;2;1;1;1;0;1;2;1;0;0;3;1;1;3;4;6;0;2;0;0;2;3;1
1;2;63;5;4;4;5;2;2;4;2;4;0;0;4;4;1;2;2;5;0;2;1;21;3;11;6;0;2;0;0;4;3;2
1;2;22;2;5;2;5;2;5;5;2;2;0;0;2;4;1;2;2;4;0;7;2;2;3;7;1;5;6;0;0;3;2;1
12;2;37;4;4;4;5;4;4;2;2;4;1;4;2;0;1;2;1;0;0;1;1;1;3;10;6;0;1;1;2;2;3;2
13;1;61;2;4;2;2;4;4;4;2;2;0;0;5;2;1;1;2;2;9997;3;1;1;3;11;4;0;1;1;4;3;3;1
10;2;45;4;4;2;4;4;4;2;2;2;1;2;1;0;1;2;1;0;1;3;21;21;3;14;5;0;1;2;2;3;3;1
1;2;54;2;1;1;4;5;1;5;1;1;0;0;4;1;98;2;2;2;0;98;3;3;3;4;2;2;4;0;0;6;12;2
7;2;53;4;5;4;2;5;5;5;2;1;2;4;5;0;1;2;1;0;0;1;1;8;3;9;5;0;1;1;2;5;12;1
7;1;42;5;5;2;2;5;5;5;2;2;1;1;1;0;1;1;1;0;0;6;2;5;3;7;5;0;1;1;9;3;3;1
16;1;54;2;4;4;4;2;4;4;2;2;1;2;1;0;1;1;1;0;0;3;21;21;3;8;5;0;1;1;2;1;3;1
1;2;51;2;5;5;5;2;5;5;1;4;1;4;5;0;1;2;1;0;0;1;0;1;3;7;3;1;4;0;0;6;6;1
1;1;48;1;2;4;4;2;1;1;5;2;1;3;2;0;1;1;1;0;0;1;0;1;3;6;2;2;4;0;0;5;11;2
9;1;33;2;2;2;5;2;4;1;1;2;2;4;2;0;2;1;1;0;0;3;901;901;3;10;6;0;1;3;2;3;5;2
9;1;41;5;5;4;1;2;5;1;1;2;0;0;2;2;1;1;2;4;0;7;2;2;3;11;2;1;1;1;1;2;3;2
1;2;32;2;5;2;2;2;4;5;1;2;1;3;2;0;1;2;1;0;0;10;0;1;3;6;3;4;4;0;0;5;5;2
4;2;30;4;4;4;4;4;4;5;5;2;1;4;2;0;1;2;1;0;0;9;0;9998;3;6;3;5;1;1;4;9;99;2
1;1;79;2;2;4;4;2;2;2;2;2;0;0;5;5;1;1;2;5;0;10;1;1;3;6;4;0;2;0;0;4;96;2
8;2;57;1;5;1;2;2;4;5;2;5;0;0;4;4;1;2;2;1;0;7;0;9998;3;11;1;5;1;1;9;6;12;1
13;2;68;5;2;5;5;2;2;5;2;2;1;3;2;0;1;2;2;4;1;5;1;1;3;5;5;0;2;0;0;4;4;2
1;2;47;4;4;2;4;2;4;4;2;2;1;1;1;0;1;2;1;0;0;6;2;2;3;6;2;2;4;0;0;2;3;1
13;1;41;4;2;4;5;4;4;1;2;5;2;4;4;0;3;1;1;0;3;7;2;2;3;11;5;0;1;2;2;1;3;2
11;1;69;4;3;4;5;4;2;5;2;3;0;0;3;4;1;1;2;4;3;6;3;3;3;7;4;0;2;0;0;5;12;1
13;2;32;5;4;5;5;4;4;1;2;2;1;4;2;0;1;2;1;0;0;2;1;21;3;13;2;3;1;1;2;1;2;1
14;1;35;4;2;1;1;5;5;5;2;4;0;0;2;2;1;1;2;2;0;7;3;3;3;13;1;6;1;1;2;5;4;2
14;1;34;1;1;4;2;4;5;1;2;2;0;0;2;4;3;1;2;2;0;2;1;13;3;13;6;0;1;1;5;5;96;1
14;1;34;5;4;8;4;4;5;8;1;2;2;4;2;0;1;1;1;0;9999;99;9999;9999;3;13;9;0;1;1;2;4;4;2
6;2;60;5;5;2;2;5;5;5;1;1;1;2;1;0;1;2;1;0;0;3;1;1;3;11;6;0;1;1;2;1;3;1
5;2;65;4;4;2;2;2;5;5;4;4;1;1;1;0;1;2;1;0;0;3;1;9997;3;10;2;2;2;0;0;3;4;1
2;1;58;5;5;1;1;5;5;5;4;4;1;2;1;0;98;1;1;0;0;5;0;9997;3;11;5;0;8;0;0;5;96;1
9;2;91;2;4;1;4;2;5;5;4;4;0;0;3;5;97;2;2;5;0;6;9998;2;3;6;1;3;2;0;0;5;3;1
1;1;65;1;5;1;1;2;5;5;1;2;1;1;1;0;1;1;1;0;0;2;1;1;3;7;2;3;2;0;0;4;5;1
16;1;27;5;1;2;2;4;5;2;2;2;2;4;2;0;1;1;1;0;9997;3;0;9997;3;7;5;0;1;1;2;1;3;2
13;1;45;4;2;2;2;5;4;5;2;2;1;1;1;0;1;1;1;0;0;7;2;2;3;12;1;4;1;1;2;3;3;1
13;1;30;4;4;2;4;4;4;4;2;2;2;4;2;0;1;1;1;0;0;5;3;3;3;10;4;0;1;1;10;2;3;1
8;2;47;4;5;2;2;5;5;5;2;4;1;2;1;0;1;2;1;0;0;5;0;1;3;6;6;0;1;1;5;5;4;2
3;2;82;8;8;5;1;5;8;5;2;2;2;4;3;0;1;2;1;0;0;99;2;9999;3;6;2;1;3;0;0;5;3;3
13;2;36;5;3;4;5;3;4;2;1;3;0;0;2;2;1;2;2;3;0;3;1;9997;3;15;4;0;1;1;2;1;4;1
9;2;26;5;5;2;5;5;5;1;2;4;2;4;2;0;2;96;1;0;0;1;1;1;3;10;4;0;1;1;2;3;3;2
1;1;39;5;4;4;4;1;1;5;2;1;1;2;1;0;1;1;1;0;0;6;0;2;3;13;5;0;1;1;2;2;3;1
1;2;60;2;2;2;1;2;2;2;2;2;1;1;1;0;1;2;1;0;2;7;2;5;3;11;2;3;4;0;0;5;3;2
12;2;31;2;2;1;1;4;5;5;4;2;1;1;1;0;1;2;1;0;0;8;2;2;3;10;2;3;1;1;2;2;3;2
1;2;72;1;1;1;1;1;5;5;5;5;0;0;5;5;2;2;2;5;0;10;2;2;3;11;2;3;2;0;0;5;3;1
1;1;47;5;5;4;4;2;4;2;2;2;1;1;1;0;1;1;1;0;0;2;1;1;3;11;2;2;1;1;10;4;3;1
9;1;73;1;5;2;2;2;4;2;1;1;1;1;1;0;1;1;1;0;0;8;2;2;3;11;2;1;2;0;0;2;3;1
4;2;27;2;5;4;4;5;5;1;4;5;1;2;1;0;1;2;1;0;0;1;21;9;3;13;5;0;4;0;0;3;5;1
1;2;67;4;4;4;4;2;2;2;2;2;0;0;2;4;1;2;2;4;0;3;1;8995;3;11;4;0;2;0;0;4;3;1
8;2;57;5;1;5;5;4;4;2;1;2;1;3;2;0;1;2;1;0;0;3;21;8;3;11;5;0;1;3;5;3;4;1
12;2;47;4;3;2;2;5;5;9;3;2;1;4;2;0;1;2;1;0;28;99;9999;9997;3;6;9;0;1;1;5;6;97;1
10;1;28;3;2;4;4;3;3;3;1;1;2;4;2;0;1;1;1;0;0;4;0;1;3;10;2;3;1;1;2;1;12;2
4;1;47;4;2;2;1;2;4;4;2;2;1;3;2;0;1;1;1;0;0;8;0;8995;3;7;2;3;1;1;3;5;12;1
8;1;36;2;2;1;4;4;4;4;2;2;2;4;2;0;1;1;1;0;1;3;1;1602;3;10;5;0;1;1;5;3;3;1
13;1;34;4;5;4;4;4;4;2;1;2;1;4;2;0;1;1;1;0;0;3;1;1;3;13;6;0;1;1;2;1;2;2
10;2;52;5;5;5;4;4;4;5;1;4;1;2;1;0;1;2;1;0;0;9;2;2;3;7;2;1;1;1;3;3;3;1
1;1;57;4;1;4;4;1;4;2;2;1;1;1;1;0;1;1;1;0;0;2;1;1;3;11;6;0;1;1;4;2;3;2
13;2;68;4;4;2;4;1;4;2;4;2;0;0;2;5;1;2;2;5;9997;1;9999;8995;3;6;2;3;2;0;0;6;12;1
9;2;42;1;1;1;2;2;4;5;2;4;1;1;1;0;1;2;1;0;0;7;0;9999;3;5;2;2;1;1;9;4;12;1
1;1;66;2;4;2;2;4;5;4;2;1;1;1;1;0;1;1;1;0;0;4;1;21;3;10;2;1;2;0;0;2;3;2
12;2;33;2;2;1;2;5;5;4;2;1;1;2;1;0;1;2;1;0;9998;7;1;9997;3;13;5;0;1;1;2;3;3;1
9;2;40;4;4;2;4;4;4;2;2;4;0;0;2;2;1;2;2;2;912;3;21;21;3;13;4;0;1;1;2;4;3;1
5;1;50;4;1;1;1;2;2;5;1;4;1;2;1;0;1;1;1;0;0;5;0;1;3;11;2;3;1;1;3;3;11;1
4;2;55;2;5;2;4;4;5;5;1;1;1;2;1;0;1;2;1;0;0;8;2;2;3;4;2;1;4;0;0;1;2;2
13;1;23;2;4;4;2;5;4;5;2;5;0;0;2;2;1;1;2;4;0;10;0;3;3;6;4;0;1;2;3;1;3;1
13;1;28;4;4;1;4;5;5;2;1;4;0;0;2;2;3;1;2;1;9997;1;0;21;3;10;4;0;5;0;0;3;4;2
9;1;38;5;4;2;5;5;4;4;2;2;1;2;1;0;2;1;1;0;0;7;2;902;3;13;2;2;1;1;2;1;3;2
2;1;19;2;2;2;1;4;2;4;5;1;2;4;2;0;1;1;1;0;0;2;0;28;3;6;5;0;6;0;0;8;4;1
12;2;45;2;4;4;2;4;4;5;2;5;1;2;1;0;1;2;1;0;0;1;1;1;3;5;5;0;1;1;5;5;4;1
1;1;45;4;5;4;4;5;5;2;2;4;1;1;1;0;1;1;1;0;0;8;3;3;3;11;2;3;1;1;2;3;3;1
13;2;56;4;1;1;1;5;5;5;2;2;1;1;1;0;1;2;1;0;0;10;3;3;3;11;1;5;1;1;5;4;4;2
1;1;35;1;1;4;2;5;5;5;1;1;1;2;1;0;2;1;1;0;0;2;1;1;3;7;2;2;2;0;0;1;3;2
9;2;55;2;1;2;2;4;4;4;1;4;1;3;4;0;1;2;1;0;9997;99;0;9997;3;6;1;3;1;1;5;5;12;1
10;2;28;4;2;4;2;2;4;4;1;5;1;2;1;0;1;2;1;0;0;7;0;9997;3;6;3;1;1;1;7;4;12;2
10;2;58;1;2;2;2;1;2;2;2;1;1;1;1;0;1;2;1;0;0;2;21;8;3;4;2;1;1;4;9;5;5;1
5;1;48;4;1;1;2;4;4;4;2;2;1;1;1;0;1;1;1;0;3;10;0;3;3;11;1;6;1;3;2;1;2;2
7;1;38;1;2;2;2;2;5;2;2;1;1;2;1;0;1;1;1;0;8995;4;1;1;3;4;4;0;7;0;0;3;5;1
1;2;97;2;9;1;1;5;5;5;1;1;0;0;3;5;96;2;2;5;0;7;2;2;3;11;1;5;2;0;0;9;2;2
8;2;66;1;4;2;1;1;4;5;2;1;0;0;5;4;1;2;2;4;9998;5;0;9997;3;7;1;3;1;1;5;6;4;1
16;2;53;4;2;2;2;5;5;2;2;5;1;2;1;0;1;2;2;5;9997;2;0;8;3;15;9;0;1;3;2;2;3;1
2;2;54;4;1;4;4;2;4;2;2;4;1;2;1;0;1;2;1;0;0;3;1;8;3;11;4;0;1;1;4;2;4;1
5;2;61;5;4;4;5;5;4;4;2;4;0;0;3;2;1;2;2;2;9998;4;9998;9997;3;13;9;0;1;1;2;3;3;2
16;2;55;5;5;2;5;4;5;4;2;5;1;1;1;0;1;2;1;0;9997;5;0;1;3;6;5;0;4;0;0;3;12;2
16;2;58;5;4;2;2;2;4;2;5;4;1;1;1;0;1;2;1;0;0;1;1;1;3;4;2;1;1;1;9;3;3;2
8;2;70;2;5;5;5;5;5;5;4;5;0;0;2;5;1;2;2;5;0;5;1;1;3;6;4;0;2;0;0;6;3;2
13;2;37;4;5;2;2;2;4;2;2;4;1;2;1;0;1;2;1;0;0;5;9977;9997;3;13;4;0;1;1;4;2;3;1
12;2;46;1;4;2;4;2;5;1;1;4;1;2;1;0;1;2;1;0;0;1;1;9;3;11;5;0;1;1;4;2;3;2
7;1;55;5;2;2;4;2;4;5;2;2;1;1;1;0;1;1;1;0;0;7;3;12;3;11;2;2;1;1;4;4;3;2
9;2;32;5;4;1;4;2;4;2;1;2;1;4;2;0;1;2;2;2;0;3;901;904;3;7;5;0;1;1;2;3;4;2
10;1;41;4;1;5;2;1;5;1;5;1;1;2;1;0;1;1;1;0;0;5;2;5;3;6;6;0;1;1;10;2;3;2
7;2;59;1;1;1;1;2;5;5;1;1;1;1;1;0;1;2;1;0;0;3;1;1;3;3;2;2;7;0;0;5;4;1
1;2;52;4;5;1;1;5;5;5;1;4;1;2;1;0;1;2;1;0;9997;5;9977;9997;3;7;2;2;1;1;3;3;5;1
13;2;26;5;5;1;5;4;5;5;1;4;0;0;2;3;1;2;2;2;0;10;3;3;3;7;2;3;1;1;5;2;2;1
13;2;25;4;4;2;2;5;5;1;2;4;2;4;2;0;2;2;1;0;0;1;1;21;3;13;6;0;1;1;2;3;3;1
10;2;45;4;4;1;1;5;5;5;2;3;0;0;2;9;1;2;2;2;0;7;3;3;3;7;1;4;4;0;0;5;12;2
10;1;40;3;5;4;4;4;5;2;1;2;1;4;2;0;1;1;1;0;0;3;21;1001;3;9;4;0;1;1;2;2;12;1
10;1;67;4;4;2;4;4;4;4;2;2;1;1;1;0;1;1;1;0;0;3;1;1;3;9;4;0;2;0;0;2;4;1
4;1;83;2;4;2;2;4;4;2;2;1;1;1;1;0;1;1;1;0;0;4;901;901;3;14;2;1;2;0;0;4;4;2
2;1;83;1;1;1;1;1;2;1;1;1;0;0;3;5;4;1;2;5;0;5;1;1;3;4;1;5;2;0;0;9;12;1
1;2;47;4;4;1;4;5;4;4;1;2;1;2;1;0;1;2;1;0;9997;99;0;9997;3;5;3;6;4;0;0;5;12;1
13;1;39;4;4;2;2;4;4;1;2;2;0;0;2;1;1;1;2;1;0;4;21;21;3;13;5;0;1;1;2;3;3;1
10;1;46;5;1;5;5;5;4;1;4;5;1;2;1;0;2;1;2;5;0;5;1;1;3;10;4;0;1;1;2;2;3;1
1;1;31;4;4;2;2;4;5;5;1;2;2;4;2;0;1;1;1;0;0;8;2;3;3;13;1;3;1;1;2;3;3;1
16;1;49;4;5;2;4;2;4;1;1;2;1;4;5;0;1;1;1;0;0;3;1;1602;3;7;6;0;1;1;9;3;5;1
5;2;47;2;4;2;5;4;4;1;2;2;1;4;2;0;1;2;1;0;0;2;1;1;3;6;5;0;3;0;0;4;12;1
1;2;89;5;5;2;1;2;1;5;2;5;0;0;3;5;1;2;2;5;0;10;2;2;3;2;1;5;3;0;0;6;96;1
14;2;43;2;5;4;4;1;5;5;1;2;1;1;1;0;1;2;1;0;0;1;1;1;3;15;1;4;1;1;2;4;3;1
3;1;67;2;4;2;2;4;4;4;1;2;1;1;1;0;1;1;1;0;0;2;21;9;3;7;2;1;2;0;0;2;3;1
13;1;52;2;5;2;2;5;5;5;1;1;1;1;1;0;1;1;1;0;9997;5;9999;9997;3;6;2;2;1;1;8;3;5;2
13;2;46;2;5;4;4;4;4;2;1;2;0;0;2;2;1;2;2;2;0;3;21;21;3;10;6;0;1;1;2;5;5;2
14;2;57;4;1;5;4;4;5;1;2;4;1;2;1;0;1;2;1;0;9997;2;21;9997;3;10;5;0;1;1;2;3;5;1
5;1;21;2;4;4;4;5;5;5;2;2;1;4;2;0;1;1;1;0;1;5;1;3;3;5;2;1;1;1;5;6;12;1
10;1;60;2;2;2;2;5;5;4;2;1;1;1;1;0;1;1;1;0;0;7;3;3;3;7;2;2;2;0;0;3;3;1
9;1;56;2;4;2;1;2;5;1;4;4;1;2;1;0;1;1;2;2;0;3;1;1;3;7;3;1;4;0;0;2;4;1
9;2;36;4;4;2;4;5;4;2;2;2;1;4;2;0;1;2;1;0;9997;2;21;9997;3;13;6;0;1;1;2;4;12;2
3;2;36;5;1;5;5;1;5;1;1;2;2;4;2;0;1;2;1;0;0;5;21;9998;3;5;2;1;1;1;2;1;12;2
8;2;55;5;4;5;5;2;5;2;2;4;0;0;2;2;1;2;2;2;0;1;1;9;3;11;6;0;1;1;2;3;5;1
8;2;65;5;4;1;2;4;5;5;2;4;0;0;3;2;1;2;2;3;0;6;1;1;3;4;1;3;2;0;0;5;3;2
9;2;45;5;2;4;4;4;5;1;2;5;0;0;2;2;2;2;2;2;0;1;1;901;3;6;5;0;1;1;1;5;5;1
10;1;31;4;5;1;2;5;5;2;2;4;2;4;2;0;3;1;1;0;9998;5;21;9998;3;13;1;5;4;0;0;4;3;2
1;1;52;5;5;4;4;4;5;2;1;4;1;2;1;0;1;1;1;0;1;3;1;1;3;11;4;0;1;1;2;2;96;2
11;2;43;4;5;4;4;2;4;5;1;2;2;4;5;0;1;2;1;0;0;6;2;2;3;4;6;0;1;1;5;6;12;1
10;1;52;2;5;2;2;5;5;5;2;2;1;1;1;0;1;1;1;0;9997;5;0;9997;3;6;2;2;1;1;8;3;4;2
13;1;51;1;1;1;1;5;5;1;1;1;0;0;3;1;1;1;1;0;0;1;21;8;3;7;6;0;4;0;0;5;12;2
3;2;29;5;4;4;5;4;4;4;5;2;2;4;2;0;3;2;1;0;0;4;1;1;3;13;4;0;1;1;2;3;3;2
16;1;31;4;5;1;4;4;5;2;2;4;2;4;2;0;1;1;1;0;0;2;1602;1602;3;13;6;0;1;1;3;2;12;1
9;1;36;5;2;1;4;4;5;2;2;2;1;4;2;0;1;1;1;0;0;2;21;21;3;10;6;0;1;1;3;2;5;1
8;2;41;5;2;5;4;1;1;5;2;4;2;4;5;0;3;2;1;0;0;10;0;9997;3;9;6;0;1;1;3;2;3;2
4;2;32;4;4;2;2;5;4;2;1;4;1;3;2;0;1;2;1;0;0;4;6;9997;3;10;3;1;4;0;0;2;3;1
2;1;69;5;5;2;2;4;4;2;1;2;1;2;1;0;1;1;1;0;9;4;1;21;3;7;4;0;2;0;0;4;3;2
14;1;37;2;5;4;2;4;4;5;1;2;1;1;1;0;1;1;2;4;0;7;2;2;3;7;1;2;1;1;7;4;3;1
11;2;21;2;1;1;2;5;5;2;1;1;2;4;2;0;96;2;1;0;0;2;1;21;3;6;4;0;6;0;0;2;5;2
9;2;38;5;5;4;4;5;4;4;1;2;2;4;2;0;1;2;1;0;0;3;0;1;3;13;4;0;1;1;2;1;3;1
16;2;48;1;2;4;4;4;5;1;1;1;0;0;1;2;1;2;2;4;0;8;0;9998;3;4;2;2;1;1;5;8;98;2
7;1;25;4;4;1;2;4;4;4;1;4;0;0;2;4;1;1;2;4;2;4;0;2;3;5;6;0;1;1;3;8;98;3
1;2;24;1;2;1;1;4;5;4;2;1;1;4;2;0;1;2;1;0;0;1;1;1;3;7;5;0;1;1;3;3;4;2
16;2;72;2;4;1;1;2;4;4;1;2;1;1;1;0;1;2;1;0;0;5;1601;1601;3;9;1;2;2;0;0;1;3;1
16;2;60;1;4;4;2;2;4;4;2;4;0;0;3;4;3;2;1;0;0;2;1;1;3;6;2;1;2;0;0;5;5;1
10;1;53;4;1;2;2;4;5;2;1;2;1;2;1;0;1;1;1;0;0;1;1;901;3;6;5;0;1;1;3;4;5;2
1;2;51;4;4;1;1;2;5;5;2;2;1;1;1;0;1;2;1;0;0;8;2;2;3;11;1;6;1;1;2;3;2;2
5;2;41;4;2;3;4;4;4;4;2;5;2;4;5;0;1;2;1;0;9999;5;9999;9999;3;7;2;1;4;0;0;1;3;2
10;1;77;4;4;4;2;4;5;4;2;1;1;1;1;0;1;1;1;0;0;2;21;9;3;6;6;0;2;0;0;3;5;1
9;2;25;4;4;4;5;5;5;2;2;4;0;0;2;4;1;2;2;4;0;6;902;902;3;13;2;2;1;1;2;2;3;2
10;1;24;2;5;2;1;2;5;5;4;2;1;4;2;0;1;1;1;0;0;6;1;1;3;3;2;2;1;1;7;3;4;2
5;2;43;5;2;1;1;2;5;1;1;2;2;4;2;0;96;2;1;0;9999;1;9998;9999;3;5;6;0;1;3;5;2;3;2
16;2;52;4;4;2;1;5;4;2;2;5;1;1;1;0;1;2;1;0;0;5;1601;1601;3;9;1;4;1;1;3;1;2;2
13;2;50;4;5;2;2;5;2;1;2;5;0;0;4;2;1;2;2;2;0;7;1;1;3;14;3;1;1;1;2;2;3;1
9;1;33;5;4;4;4;2;5;1;2;4;1;2;1;0;1;1;1;0;0;1;8995;8995;3;14;6;0;1;1;2;1;3;2
1;1;43;1;4;4;1;4;5;5;1;1;2;4;5;0;1;1;1;0;9997;10;0;9998;3;6;2;2;1;1;8;2;6;1
2;1;50;4;4;2;4;4;4;4;2;2;1;2;1;0;1;1;1;0;0;10;2;2;3;5;2;1;1;3;7;2;5;1
4;1;41;2;2;2;4;4;4;5;1;5;1;4;2;0;1;1;1;0;0;6;8995;27;3;11;5;0;1;3;3;2;3;1
7;1;68;2;2;5;3;2;2;4;5;3;0;0;5;5;1;1;2;5;9997;10;1;9997;3;4;9;0;2;0;0;6;99;2
14;1;29;4;1;2;2;5;5;2;2;2;1;4;2;0;1;1;1;0;9997;5;0;5;3;13;4;0;1;1;2;1;3;2
13;2;80;2;2;4;2;5;8;5;4;2;0;0;3;5;1;2;2;4;0;8;3;3;3;13;1;4;2;0;0;1;2;2
10;2;32;2;4;2;4;4;4;5;2;2;1;4;2;0;1;2;1;0;0;2;21;1001;3;13;5;0;4;0;0;2;4;1
5;2;49;4;2;4;2;5;2;2;2;4;1;2;1;0;1;2;1;0;8995;3;9999;9999;3;11;5;0;1;1;1;4;3;2
17;2;55;2;5;4;4;2;4;2;4;2;1;1;1;0;1;2;1;0;0;5;2;1;3;9;2;3;1;1;2;1;3;2
13;2;35;4;4;4;4;4;5;2;2;2;0;0;2;2;1;2;2;2;0;1;1;901;3;10;6;0;1;1;3;5;5;1
4;1;78;4;2;4;2;2;4;2;1;2;0;0;2;4;99;1;2;2;0;1;1;1;3;4;9;0;2;0;0;5;3;2
10;2;48;4;4;1;1;4;4;5;1;2;2;4;5;0;1;2;1;0;0;10;0;3;3;13;3;2;1;3;1;1;3;1
7;2;36;2;2;5;2;5;5;5;4;1;1;2;1;0;1;2;1;0;0;9;3;3;3;10;2;3;1;1;8;3;3;1
13;2;32;4;1;2;2;5;5;5;1;2;1;1;1;0;1;2;1;0;0;10;2;3;3;13;1;5;1;1;2;2;3;1
10;2;78;1;1;1;1;2;2;2;2;4;1;1;1;0;1;2;1;0;0;2;1;1;3;2;2;2;2;0;0;4;3;1
5;1;50;4;5;5;5;2;5;2;2;2;0;0;5;2;1;1;2;2;0;3;503;506;3;11;6;0;1;1;3;5;5;2
1;1;51;1;1;5;4;4;4;4;4;5;1;2;1;0;1;1;1;0;1;5;1;9997;3;4;2;3;1;1;1;2;96;1
1;1;25;2;5;2;2;5;5;2;4;4;0;0;2;2;1;1;2;2;0;7;2;5;3;10;2;2;1;1;4;3;4;2
15;1;47;2;1;1;1;4;4;4;1;4;0;0;5;4;1;1;2;5;0;5;2;9997;3;7;2;4;1;1;1;3;5;1
13;2;24;1;1;1;2;4;4;1;4;4;0;0;2;4;1;2;2;4;9997;5;0;1;3;7;2;3;6;0;0;2;3;2
13;2;31;2;5;4;4;5;5;1;1;2;2;4;2;0;1;2;2;1;0;1;21;1602;3;10;5;0;1;1;2;5;12;1
1;1;56;2;2;1;1;5;5;5;1;1;1;1;1;0;1;1;1;0;0;5;2;9997;3;9;1;5;1;1;5;3;3;1
9;1;77;2;5;1;1;1;5;5;1;1;1;1;1;0;1;1;1;0;0;10;3;3;3;14;1;5;1;1;1;1;3;1
9;2;82;2;5;1;1;2;4;4;4;1;0;0;3;4;1;2;2;2;0;4;902;902;3;11;1;3;3;0;0;2;11;2
1;2;62;1;4;4;2;5;5;5;1;4;1;2;1;0;1;2;1;0;0;5;2;2;3;7;2;2;7;0;0;4;3;1
5;1;29;2;4;5;5;4;4;1;1;2;2;4;2;0;2;1;1;0;0;4;1;1;3;13;5;0;1;1;2;4;5;2
2;1;67;4;5;5;5;2;4;2;1;2;0;0;5;2;1;1;2;2;9997;5;0;9997;3;6;5;0;2;0;0;4;3;2
16;2;87;8;5;2;2;2;5;5;5;1;0;0;3;5;98;2;2;5;9997;10;0;9999;3;9;1;5;2;0;0;8;96;1
10;2;63;2;5;1;1;5;5;5;5;2;1;2;1;0;1;2;1;0;9997;5;1;3;3;4;1;3;4;0;0;6;4;1
13;1;50;2;5;4;5;4;8;4;1;1;1;1;1;0;1;1;1;0;0;7;2;2;3;12;2;2;1;1;3;4;3;1
12;1;55;5;2;4;5;5;5;5;5;5;1;1;1;0;1;1;1;0;0;6;2;2;3;7;2;1;1;1;7;4;11;1
9;1;57;4;4;5;4;2;4;4;2;2;2;4;5;0;1;1;1;0;0;3;901;901;3;9;6;0;1;1;10;2;5;1
10;1;30;2;4;2;4;5;5;4;2;4;0;0;2;1;1;1;2;1;0;7;2;28;3;13;5;0;6;0;0;4;12;1
9;1;48;4;4;2;2;2;4;4;2;2;0;0;2;1;1;1;1;0;0;4;21;8995;3;6;4;0;4;0;0;6;4;2
5;2;50;1;5;4;1;2;5;1;1;1;0;0;5;1;3;2;2;1;0;7;0;9998;3;4;2;3;1;1;9;4;11;1
10;2;69;4;4;4;5;4;5;5;2;2;1;1;1;0;1;2;1;0;0;1;1;1;3;7;1;9;1;3;2;3;6;2
7;1;20;2;1;1;2;5;5;5;2;2;2;4;2;0;1;1;1;0;8995;2;0;8;3;4;5;0;4;0;0;8;3;1
4;2;52;2;2;2;2;2;5;5;1;2;0;0;2;1;1;2;2;1;0;99;0;9997;3;5;3;1;4;0;0;5;3;2
9;2;53;4;1;4;1;4;5;2;2;2;1;1;1;0;1;2;1;0;0;5;902;902;3;7;2;1;1;2;1;1;3;1
9;2;20;4;5;4;4;5;5;2;1;4;2;4;2;0;1;2;1;0;0;5;1;1;3;4;3;1;6;0;0;4;3;1
13;1;39;5;5;2;2;4;4;8;2;2;1;4;2;0;1;1;1;0;0;2;8995;8995;3;12;2;1;1;1;2;2;5;1
5;2;52;1;4;4;4;1;5;5;1;4;0;0;4;1;1;2;2;2;1;5;503;1;3;6;5;0;1;1;3;4;3;2
