CCAA;SEXO;EDAD;P4_1;P4_2;P4_3;P4_4;P4_5;P4_6;P4_7;P4_8;P5;P17E;P17F;ECIVIL;P19;P20;P21;P22;P22A;SIMPATIA;ESCIDEOL;RECUVOTOG;CERCANIA;ESCUELA;NIVELESTENTREV;RELIGION;PRACTICARELIG6;SITLAB;RELALAB;CNO11;INGRESHOG;CLASESOCIAL;SINCERIDAD
7;1;49;2;2;2;2;4;4;4;2;1;2;4;5;0;1;1;1;0;0;8;3;3;3;6;2;3;1;1;7;5;4;1
9;2;48;5;1;4;4;5;5;5;1;1;1;2;1;0;1;2;1;0;0;7;2;2;3;10;1;5;1;1;1;1;3;2
10;2;58;4;2;2;4;2;5;1;1;1;1;4;3;0;1;2;1;0;0;1;1;1;3;4;4;0;3;0;0;5;5;1
7;2;90;1;5;1;3;4;4;9;9;1;0;0;3;5;1;2;2;5;0;9;2;2;3;9;1;6;2;0;0;4;3;1
10;2;22;1;4;2;2;4;4;4;2;2;2;4;2;0;1;2;1;0;0;10;3;3;3;7;6;0;6;0;0;4;2;1
8;2;34;2;2;2;4;4;4;4;2;2;1;3;2;0;1;2;1;0;0;1;1;1;3;13;6;0;1;1;2;3;3;2
1;2;94;2;2;1;2;2;8;5;4;2;0;0;3;5;99;2;2;9;2;8;2;2;3;4;1;5;3;0;0;6;11;3
9;2;46;4;4;4;4;1;5;5;1;5;1;2;1;0;1;2;1;0;0;8;0;3;3;7;5;0;1;1;5;3;3;2
1;2;56;2;2;2;2;2;5;4;5;2;1;2;1;0;1;2;1;0;1;3;0;9997;3;6;2;3;1;1;9;5;3;1
16;1;55;2;2;4;4;1;4;4;4;1;2;4;3;0;1;1;1;0;9997;1;0;8995;3;4;6;0;8;0;0;5;12;1
10;1;31;2;5;1;4;4;5;5;1;1;0;0;2;2;1;1;2;2;0;5;0;2;3;13;2;1;1;3;2;2;3;1
13;1;60;2;4;1;2;5;4;5;2;1;1;1;1;0;1;1;1;0;0;4;2;9997;3;11;2;1;2;0;0;2;4;1
13;1;75;4;4;2;2;5;4;4;2;2;1;1;1;0;1;1;1;0;3;8;3;9997;3;14;1;5;2;0;0;1;3;1
10;2;36;5;2;5;4;5;4;5;4;1;1;4;2;0;1;2;1;0;0;3;1;901;3;7;3;3;4;0;0;4;3;1
13;1;65;2;5;4;1;2;5;5;1;1;1;2;1;0;1;1;1;0;9997;5;8995;9997;3;11;4;0;2;0;0;1;2;1
1;1;34;4;2;2;2;4;4;1;1;2;0;0;4;5;1;1;1;0;0;6;0;1;3;6;4;0;1;1;9;5;4;1
8;1;20;1;5;5;1;5;2;5;4;5;2;4;2;0;96;1;1;0;0;10;0;3;3;4;6;0;1;1;7;1;3;2
8;1;70;5;2;1;2;2;5;5;2;1;1;1;1;0;1;1;1;0;0;7;2;2;3;7;4;0;2;0;0;2;3;1
